video_name,emotion,confidence,bark_speaker,emotional_tag,temperature,audio_path,caption
83664512.mp4,Positive,0.69366455,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/83664512.mp4_positive.wav,"I was like, “Oh, wow, that`s fine.” He wanted to transfer to Rochester because he wanted to work at RIT too."
25328.mp4,Positive,0.73794603,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/25328.mp4_positive.wav,There are so many things that are wrong with the system.
253715.mp4,Positive,0.83605856,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/253715.mp4_positive.wav,Then they would ask the HIT group about the car and whether if the glass was broken.
255438.mp4,Positive,0.8952973,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/255438.mp4_positive.wav,Or they will ask another group SMASHED about the car and whether if the glass was broken.
253816.mp4,Positive,0.88081914,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/253816.mp4_positive.wav,Or ask the COLLIDED group about the car and if the glass was broken?
253917.mp4,Positive,0.86367255,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/253917.mp4_positive.wav,"Ask another group, the CRASHED group about the car and whether if the glass is broken."
254424.mp4,Positive,0.8348422,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/254424.mp4_positive.wav,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf""."
254525.mp4,Positive,0.85145533,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/254525.mp4_positive.wav,"Of course the parents would be scared. ""I am sorry"" is never a good thing."
254728.mp4,Positive,0.76320016,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/254728.mp4_positive.wav,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer""."
257368.mp4,Positive,0.76719475,v2/en_speaker_6,[laughs],0.7,/Users/ignazioemanuelepicciche/Documents/TESI Magistrale UCBM/Improved_EmoSign_Thesis/results/tts_audio/bark_generated/257368.mp4_positive.wav,"They often use the word ""diagnosis"" It's very negative and it's used for more negative references, such as sickness or cancer. Or maybe terminal illness."
