video_name,true_label,predicted_label,confidence,caption,correct_prediction
83664512.mp4,Positive,Positive,0.9,"I was like, “Oh, wow, that`s fine.” He wanted to transfer to Rochester because he wanted to work at RIT too.",True
25328.mp4,Negative,Positive,0.9,There are so many things that are wrong with the system.,False
253715.mp4,Negative,Positive,0.9,Then they would ask the HIT group about the car and whether if the glass was broken.,False
255438.mp4,Negative,Positive,0.9,Or they will ask another group SMASHED about the car and whether if the glass was broken.,False
253816.mp4,Negative,Positive,0.9,Or ask the COLLIDED group about the car and if the glass was broken?,False
253917.mp4,Negative,Positive,0.9,"Ask another group, the CRASHED group about the car and whether if the glass is broken.",False
254424.mp4,Negative,Positive,0.9,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".",False
254525.mp4,Negative,Positive,0.9,"Of course the parents would be scared. ""I am sorry"" is never a good thing.",False
254728.mp4,Negative,Positive,0.9,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".",False
257368.mp4,Negative,Positive,0.9,"They often use the word ""diagnosis"" It's very negative and it's used for more negative references, such as sickness or cancer. Or maybe terminal illness.",False
254829.mp4,Positive,Positive,0.9,"Why don't they use a word like ""identified"" as in ""I've identified this child deaf""? Now it does not seem bad at all.",True
254931.mp4,Negative,Positive,0.9,"""Intervention"" implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.",False
255033.mp4,Positive,Positive,0.9,"The baby is just deaf. It's not their fault, they're doing perfectly fine.",True
255844.mp4,Positive,Positive,0.9,That makes it to seem like an opportunity to do more than one.,True
255946.mp4,Negative,Positive,0.9,The parents might will perceive this as something they should to be upset about.,False
256351.mp4,Positive,Positive,0.9,A Deaf role model who has been trained can show the parents that he/she is perfectly fine.,True
256352.mp4,Positive,Positive,0.9,He/she can read and write. He/she can communicate. He/she can work. He/she has an education. There's a long list of that and he/she is perfectly fine.,True
257265.mp4,Negative,Positive,0.9,"When a deaf child does not have a Deaf mentor, the family will continue to be disappointed and their grief will last longer.",False
2682847.mp4,Negative,Positive,0.9,The car is broken.,False
2682838.mp4,Negative,Positive,0.9,The car broke down.,False
26827616.mp4,Negative,Positive,0.9,"Cousin John's car broke down, do you remember?",False
26827517.mp4,Negative,Positive,0.9,"It wasn't John whose car broke down, it was Mary.",False
26827419.mp4,Negative,Positive,0.9,"John didn't get into an accident with a truck, he got into an accident with another car.",False
26827321.mp4,Negative,Positive,0.9,The car is broken.,False
36298782.mp4,Negative,Positive,0.9,The weather is lousy today.,False
36295789.mp4,Negative,Positive,0.9,Mom doesn't like surprises.,False
36294790.mp4,Negative,Positive,0.9,The weather isn't beautiful today.,False
36292794.mp4,Positive,Positive,0.9,"Yes, I like pineapple cream cheese.",True
36291796.mp4,Negative,Positive,0.9,No! I don't like pineapple cream cheese.,False
36288803.mp4,Positive,Positive,0.9,Dad is like me. He likes chocolate cereal.,True
5596228.mp4,Negative,Positive,0.9,Why is dad upset? I have no idea...,False
