video_name,filename,Sentiment,original_caption,whisper_transcript,WER,STATUS
7321.mp4,7321_negative_score-2.wav,-2,"If the president is elected again, my father will be upset."," If the president is elected again, my father will be upset.",0.0,KEEP
3098.mp4,3098_positive_score3.wav,3,My best friend visited Boston yesterday., My best friend visited Boston yesterday.,0.0,KEEP
31655186.mp4,31655186_negative_score-2.wav,-2,I have to pay double the rent because I missed the last one., I have to pay double the rent because I missed the last one.,0.0,KEEP
255946.mp4,255946_negative_score-1.wav,-1,The parents might will perceive this as something they should to be upset about., The parents might will perceive this as something they should to be upset about.,0.0,KEEP
58734020.mp4,58734020_negative_score-3.wav,-3,"If you spell even one word wrong, he will take away points for it!"," If you spell even one word wrong, he will take away coins for it.",0.0714,KEEP
7119.mp4,7119_positive_score3.wav,3,"If you like chocolate, you will love this cake."," If you like chocolate, you will love this cake.",0.0,KEEP
8638.mp4,8638_negative_score-3.wav,-3,"If I'm working and my computer crashes, I will panic."," If I'm working in my computer crashes, I will panic.",0.1,KEEP
29525.mp4,29525_negative_score-3.wav,-3,The kids hate their principal because he bawls them out if they have not done their homework., the kids hate their principal because he balls them out if they have not done their homework.,0.0588,KEEP
79664536.mp4,79664536_negative_score-3.wav,-3,Jim assaulted a man and now the man is threatening to sue Jim., Jim assaulted a man and now the man is threatening to sue Jim.,0.0,KEEP
3379644.mp4,3379644_positive_score2.wav,2,"If you order pizza here, I guarantee it will be delicious."," If you order pizza here, I guarantee you will be delicious.",0.0909,KEEP
8398627.mp4,8398627_negative_score-2.wav,-2,"No, no one has found the umbrella, it's still missing."," No, no one has found the umbrella. It's still missing.",0.0,KEEP
7987410.mp4,7987410_negative_score-3.wav,-3,"If I fail a test, my mom will blow her top."," If I fail a test, my mom will blow over top.",0.0909,KEEP
3380334.mp4,3380334_negative_score-2.wav,-2,"If John eats spinach, he will get nauseous and sick."," If John eats spinach, he will get nauseous and sick.",0.0,KEEP
844255.mp4,844255_negative_score-2.wav,-2,"If my boss summons me, everyone will know I`m in trouble."," If my boss summons me, everyone will know I'm in trouble.",0.0,KEEP
3380826.mp4,3380826_negative_score-2.wav,-2,"If my sister neglects her homework, she won't succeed in school."," If my sister neglects her homework, she won't succeed in school.",0.0,KEEP
1677.mp4,1677_negative_score-3.wav,-3,That dress is not my favorite., That dress is not my favorite.,0.0,KEEP
841314.mp4,841314_positive_score1.wav,1,My friend is playing video games., My friend is playing video games.,0.0,KEEP
6814.mp4,6814_positive_score3.wav,3,The sandwich I just ate was delicious!, The sandwich I just ate was delicious.,0.0,KEEP
7422.mp4,7422_negative_score-2.wav,-2,"If I forget to go to the store, my mother will be upset."," If I forget to go to the store, my mother will be upset.",0.0,KEEP
5572413.mp4,5572413_positive_score3.wav,3,"I like the beach better than the lake because the beach has waves, while the lake has none."," I like the beach better than the lake, because the beach has waves while the lake has none.",0.0,KEEP
26827419.mp4,26827419_negative_score-1.wav,-1,"John didn't get into an accident with a truck, he got into an accident with another car.", John didn't get into an accident with a truck. He got into an accident with another car.,0.0,KEEP
8436.mp4,8436_negative_score-2.wav,-2,"When he struggled a lot in school, he became depressed."," when he struggled a lot in school, he became depressed.",0.0,KEEP
84088.mp4,84088_negative_score-1.wav,-1,My friend goes out to a party., My friend goes out to a party.,0.0,KEEP
845270.mp4,845270_positive_score3.wav,3,My friend is going out to a party., My friend is going out to a party.,0.0,KEEP
17077.mp4,17077_negative_score-1.wav,-1,The weather is lousy today., The weather is lousy today.,0.0,KEEP
845472.mp4,845472_positive_score1.wav,1,My friend loves to go fishing because he loves to eat fish., My friend loves to go fishing because he loves to eat fish.,0.0,KEEP
1372.mp4,1372_positive_score3.wav,3,Boston is a great city., Boston is a great city.,0.0,KEEP
