timestamp,annotator_id,video_name,original_sentiment,presentation_mode,human_rating,is_audio_bad,wer_score
2025-12-02 12:46:48,Daniele,174050.mp4,-1,TEXT_ONLY,-1,False,0.0
2025-12-02 12:48:08,Daniele,58734020.mp4,-3,AUDIO_ONLY,-3,False,0.0714
2025-12-02 12:48:29,Daniele,845472.mp4,1,AUDIO_ONLY,3,False,0.0
2025-12-02 12:48:41,Daniele,844356.mp4,-1,AUDIO_ONLY,0,False,0.0
2025-12-02 12:49:00,Daniele,8399614.mp4,-2,AUDIO_ONLY,-2,False,0.0
2025-12-02 12:49:19,Daniele,3378363.mp4,-2,AUDIO_ONLY,-2,False,0.0
2025-12-02 12:49:34,Daniele,7987410.mp4,-3,AUDIO_ONLY,-2,False,0.0909
2025-12-02 12:49:43,Daniele,7422.mp4,-2,TEXT_ONLY,-1,False,0.0
2025-12-02 12:49:49,Daniele,26827321.mp4,-2,TEXT_ONLY,-2,False,0.0
2025-12-02 12:50:07,Daniele,255946.mp4,-1,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:50:31,Daniele,3380334.mp4,-2,AUDIO_ONLY,-3,False,0.0
2025-12-02 12:50:55,Daniele,845270.mp4,3,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:51:05,Daniele,3098.mp4,3,TEXT_ONLY,0,False,0.0
2025-12-02 12:51:28,Daniele,79664536.mp4,-3,AUDIO_ONLY,-3,False,0.0
2025-12-02 12:51:38,Daniele,841314.mp4,1,TEXT_ONLY,1,False,0.0
2025-12-02 12:51:54,Daniele,58734712.mp4,-2,TEXT_ONLY,-2,False,0.0
2025-12-02 12:52:01,Daniele,5572413.mp4,3,TEXT_ONLY,0,False,0.0
2025-12-02 12:52:12,Daniele,5989857.mp4,3,AUDIO_ONLY,1,False,0.0
2025-12-02 12:53:09,Daniele,5873528.mp4,-2,TEXT_ONLY,-1,False,0.1
2025-12-02 12:53:17,Daniele,9956.mp4,2,TEXT_ONLY,0,False,0.0
2025-12-02 12:53:38,Daniele,17598184.mp4,2,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:53:43,Daniele,1677.mp4,-3,TEXT_ONLY,-1,False,0.0
2025-12-02 12:53:55,Daniele,8396754.mp4,-2,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:54:07,Daniele,31660612.mp4,-1,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:54:25,Daniele,172529.mp4,0,TEXT_ONLY,1,False,0.0
2025-12-02 12:54:42,Daniele,3098.mp4,3,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:54:50,Daniele,79664536.mp4,-3,TEXT_ONLY,-3,False,0.0
2025-12-02 12:55:02,Daniele,172529.mp4,0,AUDIO_ONLY,0,False,0.0
2025-12-02 12:55:20,Daniele,31655186.mp4,-2,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:55:54,Daniele,17077.mp4,-1,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:56:05,Daniele,7321.mp4,-2,TEXT_ONLY,-2,False,0.0
2025-12-02 12:56:11,Daniele,844255.mp4,-2,TEXT_ONLY,-2,False,0.0
2025-12-02 12:56:17,Daniele,338228.mp4,-2,TEXT_ONLY,-1,False,0.0
2025-12-02 12:56:28,Daniele,8398627.mp4,-2,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:56:40,Daniele,3380826.mp4,-2,AUDIO_ONLY,-2,False,0.0
2025-12-02 12:56:56,Daniele,29525.mp4,-3,AUDIO_ONLY,-2,False,0.0588
2025-12-02 12:57:07,Daniele,17598184.mp4,2,TEXT_ONLY,-1,False,0.0
2025-12-02 12:57:32,Daniele,25328.mp4,-2,AUDIO_ONLY,-2,False,0.0
2025-12-02 12:57:37,Daniele,1372.mp4,3,TEXT_ONLY,2,False,0.0
2025-12-02 12:57:40,Daniele,7986027.mp4,-1,TEXT_ONLY,-1,False,0.0
2025-12-02 12:58:00,Daniele,1372.mp4,3,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:58:28,Daniele,841314.mp4,1,AUDIO_ONLY,1,False,0.0
2025-12-02 12:58:34,Daniele,1575.mp4,3,AUDIO_ONLY,1,False,0.0
2025-12-02 12:58:48,Daniele,3379644.mp4,2,TEXT_ONLY,3,False,0.0909
2025-12-02 12:59:01,Daniele,58734712.mp4,-2,AUDIO_ONLY,-3,False,0.0
2025-12-02 12:59:09,Daniele,7119.mp4,3,AUDIO_ONLY,1,False,0.0
2025-12-02 12:59:25,Daniele,1677.mp4,-3,AUDIO_ONLY,-1,False,0.0
2025-12-02 12:59:40,Daniele,58734020.mp4,-3,TEXT_ONLY,-3,False,0.0714
2025-12-02 12:59:44,Daniele,8398627.mp4,-2,TEXT_ONLY,-1,False,0.0
2025-12-02 12:59:49,Daniele,844762.mp4,-1,TEXT_ONLY,1,False,0.1
2025-12-02 13:00:03,Daniele,7981687.mp4,-3,AUDIO_ONLY,-2,False,0.0
2025-12-02 13:00:14,Daniele,5873528.mp4,-2,AUDIO_ONLY,-2,False,0.1
2025-12-02 13:00:25,Daniele,84088.mp4,-1,AUDIO_ONLY,-1,False,0.0
2025-12-02 13:00:30,Daniele,8396754.mp4,-2,TEXT_ONLY,-1,False,0.0
2025-12-02 13:01:22,Daniele,257368.mp4,-2,AUDIO_ONLY,-2,False,0.04
2025-12-02 13:01:30,Daniele,3379644.mp4,2,AUDIO_ONLY,-2,False,0.0909
