video_name,true_label,predicted_label,confidence,caption,prob_negative,prob_neutral,prob_positive,audio_generated,duration
83664512.mp4,Positive,Positive,0.9369349457320496,,0.0078137835033734,0.0552512707645767,0.9369349457320496,True,11.413333333333334
25328.mp4,Negative,Negative,0.6945951503801794,,0.6945951503801794,0.2403200229878294,0.0650848266319912,True,4.506666666666667
253715.mp4,Negative,Negative,0.580605052098027,,0.580605052098027,0.3606297391141873,0.0587652087877857,True,14.066666666666666
255438.mp4,Negative,Negative,0.6597964113878665,,0.6597964113878665,0.2809605225717652,0.0592430660403683,True,12.093333333333334
253816.mp4,Negative,Negative,0.6295473321575278,,0.6295473321575278,0.3157275872927094,0.0547250805497628,True,7.973333333333334
253917.mp4,Negative,Negative,0.6550834780523549,,0.6550834780523549,0.2901656294232118,0.0547508925244332,True,10.573333333333334
254424.mp4,Negative,Negative,0.6972908469614958,,0.6972908469614958,0.231467372155429,0.0712417808830752,True,13.68
254525.mp4,Negative,Negative,0.7082871707219421,,0.7082871707219421,0.2189212051965757,0.0727916240814821,True,8.333333333333334
254728.mp4,Negative,Negative,0.7117251100715652,,0.7117251100715652,0.2192804859780011,0.0689944039504336,True,13.2
257368.mp4,Negative,Negative,0.7129710324947501,,0.7129710324947501,0.2093642409015636,0.0776647266036861,True,13.386666666666667
254829.mp4,Positive,Negative,0.5105686240056461,,0.5105686240056461,0.3941496697792948,0.0952817062150591,True,11.96
254931.mp4,Negative,Negative,0.6543992566687078,,0.6543992566687078,0.2875640559707576,0.0580366873605346,True,10.8
255033.mp4,Positive,Neutral,0.621907371863323,,0.0111385388056433,0.621907371863323,0.3669540893310337,True,11.493333333333334
255844.mp4,Positive,Positive,0.8488174231506049,,0.0056071487862475,0.1455754280631474,0.8488174231506049,True,7.746666666666667
255946.mp4,Negative,Negative,0.7049037206493267,,0.7049037206493267,0.226563401142523,0.0685328782081503,True,8.053333333333333
256351.mp4,Negative,Positive,0.8616828794224053,,0.0061082273098783,0.1322088932677163,0.8616828794224053,True,12.04
256352.mp4,Positive,Positive,0.9078087259687898,,0.0074928027957869,0.0846984712354231,0.9078087259687898,True,12.373333333333333
257265.mp4,Negative,Negative,0.7126217436802782,,0.7126217436802782,0.2191294235325021,0.0682488327872197,True,13.826666666666666
2682847.mp4,Negative,Negative,0.663610567791458,,0.663610567791458,0.275449828420957,0.060939603787585,True,4.0
2682838.mp4,Negative,Negative,0.6278025151030474,,0.6278025151030474,0.3156591422160447,0.0565383426809079,True,5.266666666666667
26827616.mp4,Negative,Negative,0.528249489476748,,0.528249489476748,0.4161412706519213,0.0556092398713308,True,6.48
26827517.mp4,Negative,Negative,0.6013897152108425,,0.6013897152108425,0.3400470428189476,0.0585632419702098,True,10.493333333333334
26827419.mp4,Negative,Neutral,0.4864599115456812,,0.4483535326005827,0.4864599115456812,0.0651865558537361,True,8.173333333333334
26827321.mp4,Negative,Negative,0.6635871325382718,,0.6635871325382718,0.2755226276646161,0.0608902397971119,True,3.36
36298782.mp4,Negative,Negative,0.690647355196064,,0.690647355196064,0.2403068973190804,0.0690457474848553,True,4.68
36295789.mp4,Negative,Neutral,0.475347672476811,,0.470001945763654,0.475347672476811,0.0546503817595347,True,4.066666666666666
36294790.mp4,Negative,Negative,0.6159269551789236,,0.6159269551789236,0.3245441451537681,0.0595288996673082,True,6.32
36292794.mp4,Positive,Positive,0.932845430492509,,0.0080630910823576,0.0590914784251332,0.932845430492509,True,9.653333333333334
36291796.mp4,Negative,Neutral,0.5237768198674974,,0.3894597705830064,0.5237768198674974,0.0867634095494961,True,14.0
36288803.mp4,Positive,Positive,0.8747297255073846,,0.0068444824046571,0.1184257920879581,0.8747297255073846,True,10.893333333333333
5596228.mp4,Negative,Negative,0.6527791789362615,,0.6527791789362615,0.2889099472869929,0.0583108737767456,True,7.386666666666667
154108.mp4,Negative,Positive,0.9373308351340206,,0.0125575748322416,0.0501115900337378,0.9373308351340206,True,14.386666666666667
1540612.mp4,Positive,Negative,0.6530991563179631,,0.6530991563179631,0.2600242511498784,0.0868765925321584,True,14.84
1540613.mp4,Positive,Negative,0.6971898210708433,,0.6971898210708433,0.2288814002826343,0.0739287786465223,True,13.093333333333334
1540021.mp4,Negative,Neutral,0.5148228229585509,,0.3588758856391114,0.5148228229585509,0.1263012914023378,True,9.866666666666667
1539625.mp4,Negative,Positive,0.9399395333801154,,0.0102259597537748,0.0498345068661098,0.9399395333801154,True,13.12
17602177.mp4,Negative,Negative,0.6985681719991129,,0.6985681719991129,0.2333299716681072,0.0681018563327798,True,9.266666666666667
17598184.mp4,Positive,Positive,0.9470599138076384,,0.0089108391515288,0.0440292470408326,0.9470599138076384,True,5.1466666666666665
17597185.mp4,Negative,Negative,0.478121798235864,,0.478121798235864,0.4566686233456358,0.0652095784185002,True,4.346666666666667
17582212.mp4,Negative,Negative,0.667593287079711,,0.667593287079711,0.2646918736724795,0.0677148392478094,True,13.706666666666667
17596188.mp4,Negative,Negative,0.6797119562293887,,0.6797119562293887,0.2441944976954685,0.0760935460751427,True,6.64
17593193.mp4,Positive,Positive,0.9705885787163284,,0.012356747746728,0.0170546735369434,0.9705885787163284,True,6.48
17590198.mp4,Negative,Negative,0.6967698295919244,,0.6967698295919244,0.2204701441651643,0.0827600262429113,True,5.16
17592194.mp4,Negative,Negative,0.6249150853319236,,0.6249150853319236,0.3162757765075537,0.0588091381605227,True,4.626666666666667
17588201.mp4,Negative,Neutral,0.9625470251510618,,0.0025267281853253,0.9625470251510618,0.0349262466636128,True,3.466666666666667
17586206.mp4,Positive,Positive,0.9688291610495812,,0.0141115215595019,0.0170593173909168,0.9688291610495812,True,2.973333333333333
17584208.mp4,Positive,Positive,0.969145926256564,,0.0160936065993285,0.0147604671441073,0.969145926256564,True,6.946666666666666
