video_name,true_label,roberta_prob_negative,roberta_prob_neutral,roberta_prob_positive
2751812.mp4,NEUTRAL,0.8795885,0.10620487,0.014206584
98592049.mp4,NEUTRAL,0.22005664,0.56063884,0.21930456
98857459.mp4,NEUTRAL,0.02633612,0.62892187,0.34474203
98881709.mp4,NEUTRAL,0.028102519,0.6886756,0.28322187
98895873.mp4,NEUTRAL,0.03761508,0.5742024,0.3881825
99038142.mp4,NEUTRAL,0.011028235,0.46733883,0.52163297
99065608.mp4,NEUTRAL,0.014968052,0.2406989,0.744333
99084529.mp4,NEUTRAL,0.04033059,0.63752776,0.3221417
99164108.mp4,NEUTRAL,0.7299735,0.21828662,0.051739834
99210571.mp4,NEUTRAL,0.052337807,0.54554063,0.4021216
76719526.mp4,NEUTRAL,0.45496598,0.32005695,0.22497703
99305816.mp4,NEUTRAL,0.027263783,0.51163685,0.46109936
99370717.mp4,POSITIVE,0.0327053,0.38907775,0.5782169
99395897.mp4,NEGATIVE,0.5194831,0.32652748,0.15398942
99454786.mp4,POSITIVE,0.018465176,0.29492128,0.6866135
99499600.mp4,NEUTRAL,0.038389422,0.69969964,0.26191092
99523150.mp4,NEUTRAL,0.4735377,0.4288363,0.09762599
99571136.mp4,NEUTRAL,0.041574866,0.3495792,0.6088459
99639413.mp4,NEUTRAL,0.1318396,0.50063676,0.36752364
83323313.mp4,NEUTRAL,0.014350218,0.71387213,0.27177763
83360967.mp4,NEUTRAL,0.013146266,0.2433851,0.74346864
83444920.mp4,NEUTRAL,0.014049707,0.27524152,0.7107088
83470674.mp4,NEUTRAL,0.34600818,0.3733099,0.28068188
83507101.mp4,NEUTRAL,0.009734899,0.5629737,0.42729142
83537939.mp4,NEUTRAL,0.050337646,0.57978505,0.3698773
83594638.mp4,POSITIVE,0.13495284,0.39938948,0.46565762
83719008.mp4,POSITIVE,0.008701154,0.37647673,0.61482215
83757971.mp4,NEUTRAL,0.011343431,0.5260935,0.46256304
83875522.mp4,NEUTRAL,0.12461595,0.45919538,0.41618863
25317.mp4,NEUTRAL,0.12720168,0.5356148,0.33718354
25339.mp4,NEUTRAL,0.05785428,0.53863454,0.40351117
253410.mp4,NEUTRAL,0.4795466,0.37504306,0.14541031
253411.mp4,NEUTRAL,0.048859056,0.28837886,0.6627621
253512.mp4,NEUTRAL,0.0389704,0.6651175,0.29591212
253613.mp4,NEUTRAL,0.042265892,0.65771526,0.30001882
253714.mp4,NEUTRAL,0.15053388,0.47913283,0.37033325
254018.mp4,NEUTRAL,0.7024563,0.21878444,0.07875926
255439.mp4,NEUTRAL,0.15112354,0.5607857,0.2880908
255540.mp4,NEUTRAL,0.052763507,0.55202395,0.3952125
254019.mp4,POSITIVE,0.27525815,0.4346755,0.29006627
255641.mp4,NEUTRAL,0.9045878,0.06922471,0.026187511
